title,downloads,overall rating,released,summary,reviews,ratings,price,developer,genre,categories,average score,positive_percentage,negative_percentage
Offline Games - No Wifi Games,100000000,4.6758375,"Aug 4, 2023","Choose from lots of puzzles and minigames to play. Chess, wordgames & more!",8433,269430,0,JindoBlu,Casual,"Casual, Minigames, Single player, Stylized, Offline",0.93,75,25
Fruit Ninja®,500000000,4.5215435,"Jul 20, 2011","Fruit is waiting to be sliced, ninja. Play the hit mobile game !",221240,5543815,0,Halfbrick Studios,Arcade,"Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice",0.98,80,20
Subway Surfers,1000000000,4.5600967,"Sep 20, 2012","Help Jake, Tricky & Fresh escape from the grumpy Inspector and his dog!",1791496,41935337,0,SYBO Games,Arcade,"Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline",1.0,85,15
Candy Crush Saga,1000000000,4.617767,"Nov 15, 2012",Match your way through candy puzzles packed with fun and clever challenges!,2105477,38676359,0,King,Casual,"Puzzle, Match 3, Casual, Single player, Stylized, Miscellaneous, Puzzles, Food, Candy, Offline",0.98,75,25
Roblox,1000000000,4.459377,"Jul 15, 2014",Your next adventure awaits.,3504902,43012684,0,Roblox Corporation,Adventure,"Simulation, Sandbox, Casual, Multiplayer, Cooperative multiplayer, Single player, Stylized, Crafting",0.98,75,25
Among Us,500000000,3.8781695,"Jun 15, 2018",Join your crewmates in a multiplayer game of teamwork and betrayal!,524245,13467714,0,Innersloth LLC,Action,"Strategy, Asymmetrical battle arena, Multiplayer, Competitive multiplayer, Stylized, Assassin, Fantasy, Sci-fi fantasy",0.99,50,50
Clash of Clans,500000000,4.4893103,"Sep 30, 2013","Epic combat strategy game. Build your village, train your troops & go to battle!",1983643,61715361,0,Supercell,Strategy,"Strategy, Build & battle, Casual, Single player, Multiplayer, Stylized, Cartoon, Civilization, Evolution, Fantasy, Urban fantasy",0.96,80,20
Free Fire,1000000000,4.2179165,"Dec 7, 2017",10-minute Survival Shooter!,638001,123823355,0,Garena International I,Action,"Action, Shooter, Tactical shooter, Multiplayer, Competitive multiplayer, Stylized, Battling, Weapons, Gun",0.9500000000000001,60,40
Mob Control,100000000,4.164486,"Apr 29, 2021","Join Mob Control: Grow your army, lead your mobs, and conquer the battlefield!",34424,683237,0,VOODOO,Arcade,"Action, Casual, Hypercasual, Single player, Abstract, Stickman, Offline",0.9500000000000001,45,55
Angry Birds 2,100000000,4.1872644,"Jul 23, 2015",Play the Angry Birds game enjoyed by millions of players every day!,269765,6261867,0,Rovio Entertainment Oy,Casual,"Puzzle, Physics, Casual, Single player, Stylized, Animals, Bird, Funny",0.97,55,45
Asphalt 8 - Car Racing Game,500000000,4.528336,"Aug 20, 2013",Experience multiplayer races with fast cars and motorcycles.,287116,11628259,0,Gameloft SE,Racing,"Racing, Car race, Multiplayer, Competitive multiplayer, Single player, Stylized, Vehicles, Car, Vehicles, Sports car, Offline",0.97,75,25
8 Ball Pool,1000000000,4.7226424,"Jan 23, 2013",Play online multiplayer or PvP Pool games and compete with your friends!,974198,29789945,0,Miniclip.com,Sports,"Sports, Billiards, Casual, Multiplayer, Competitive multiplayer, Single player, Realistic, Sports, Billiards, Sports, Pool, Offline",0.97,65,35
Hungry Shark Evolution,500000000,4.4828873,"Feb 22, 2013",Eat & evolve your shark in the ultimate shark survival game!,247051,7627344,0,Ubisoft Entertainment,Arcade,"Action, Action-adventure, Survival, Arcade, Single player, Stylized, Animals, Shark, Ocean, Offline",0.98,70,30
1945 Air Force: Airplane Games,100000000,4.8002586,"Mar 5, 2019",Master the skies in this epic airplane shooting game! Join the air force now!,47340,4086604,0,1SOFT,Arcade,"Action, Shooter, Bulletstorm, Casual, Single player, Stylized, Battling, Vehicles, Fighter jet, Offline",0.99,70,30
Mario Kart Tour,100000000,4.3138614,"Sep 24, 2019",Race around the world!,218389,2154982,0,"Nintendo Co., Ltd.",Action,"Racing, Kart, Casual, Single player, Stylized, Cartoon, Shoot, Driving",0.99,45,55
Toca Boca World,100000000,4.2856584,"Nov 21, 2018","Create, customize & explore your Toca Boca story! Endless fun & creativity await",199966,6183835,0,Toca Boca,Educational,"Simulation, Life, Single player, Stylized, Fantasy, Urban fantasy, Offline",1.0,55,45
Temple Run 2: Endless Escape,1000000000,4.147584,"Jan 23, 2013","Run, jump, and escape in the ultimate endless jungle adventure game!",384514,10087385,0,Imangi Studios,Action,"Action, Platformer, Runner, Arcade, Single player, Stylized, Miscellaneous, Relics, Jump, Offline",0.9,80,20
Stumble Guys,100000000,4.2362304,"Sep 24, 2020","Fun knockout battle royale, play with your friends!",69321,6241160,0,Scopely,Action,"Action, Platformer, Casual, Multiplayer, Stylized, Battling, Dodge",0.97,50,50
Google Play Games,5000000000,4.0692005,"Jul 24, 2013","Play games instantly, save progress, and earn achievements.",200685,13302655,0,Google LLC,Entertainment,Entertainment,1.0,60,40
Royal Match,100000000,4.642513,"Feb 25, 2021",Decorate King Robert's Castle by solving puzzles along the way!,84821,8304332,0,"Dream Games, Ltd.",Puzzle,"Puzzle, Match 3, Match 3 adventure, Casual, Single player, Stylized, Miscellaneous, Puzzles, History, Offline",0.96,75,25
